日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2002/7/5,120.45,183.57,117.51,78.63,80.19,12.89,15.81,16.05,66.96,58.13,11.86,320.18,15.44,2.49,2.39,68.07,2.89,401.63,32.13,32.8,12.1,1.38,3.6
2002/7/8,119.4,182.49,116.95,78.32,79.63,12.82,15.76,16.02,66.68,58.08,11.87,317.38,15.31,2.46,2.37,67.56,2.87,396.68,31.85,32.52,12.06,1.37,3.58
2002/7/9,118.9,183.25,117.54,78.04,79.99,12.83,15.84,16.08,66.99,58.38,11.74,316.06,15.24,2.45,2.37,67.6,2.88,397.53,31.72,32.38,11.99,1.36,3.58
2002/7/10,118.2,182.84,117.21,77.94,79.54,12.7,15.78,16.04,67.13,58.23,11.88,314.19,15.15,2.44,2.35,67.4,2.86,393.87,31.53,32.19,12.02,1.35,3.57
2002/7/11,117.65,182.29,116.23,77.39,79.11,12.53,15.66,15.94,66.52,57.37,11.81,312.73,15.08,2.43,2.35,67.19,2.86,393.35,31.39,32.04,11.98,1.34,3.56
2002/7/12,117.25,181.89,115.75,76.89,78.94,12.51,15.58,15.9,65.52,56.64,11.65,311.67,15.03,2.42,2.34,66.89,2.83,392.01,31.28,31.93,12.05,1.3,3.55
2002/7/15,116.5,181.01,115.82,76.06,78.8,12.55,15.59,15.79,65.27,56.67,11.72,309.35,14.94,2.39,2.31,66.8,2.84,387.69,31.08,31.72,11.99,1.3,3.5
2002/7/16,116.35,182.87,117.16,75.59,79.87,12.67,15.77,15.89,65.2,56.49,11.65,309.03,14.92,2.39,2.31,66.88,2.85,387.96,31.04,31.68,11.95,1.3,3.53
2002/7/17,116,182.56,117.32,75.4,80,12.58,15.81,15.9,64.61,56.43,11.52,308.18,14.87,2.38,2.31,66.77,2.87,387.31,30.95,31.59,12.02,1.29,3.53
2002/7/18,116.55,182.95,117.24,75.69,80.04,12.62,15.79,15.9,64.24,56.13,11.55,309.64,14.94,2.4,2.32,67.04,2.87,388.63,31.09,31.74,12.05,1.32,3.56
2002/7/19,116.4,183.47,117.92,75.53,80.51,12.65,15.87,15.95,64.5,56.31,11.74,310.81,14.92,2.39,2.32,67.04,2.87,388.65,31.05,31.72,12.04,1.33,3.55
2002/7/22,116.15,183.05,117.43,75.24,80.58,12.53,15.82,15.78,64.52,56.5,11.65,308.66,14.89,2.39,2.31,67.08,2.87,387.94,30.98,31.63,12.01,1.33,3.5
2002/7/23,116.6,183.6,116.9,74.24,80.41,12.28,15.74,15.48,63.73,55.55,11.71,309.86,14.95,2.4,2.32,67.09,2.87,389.06,31.1,31.75,12.07,1.34,3.53
2002/7/24,117.5,183.92,116.2,74.25,80.01,12.26,15.63,15.37,63.54,55.61,11.68,312.17,15.06,2.42,2.32,67.35,2.86,391.41,31.35,32,12.19,1.32,3.56
2002/7/25,116.55,183.4,116.04,74.45,80.1,12.3,15.61,15.36,63.36,54.58,11.32,309.64,14.94,2.4,2.3,66.88,2.84,389.15,31.09,31.74,12.09,1.31,3.49
2002/7/26,116.7,184.67,117.38,74.34,81.15,12.42,15.8,15.51,63.11,54.48,11.58,310.04,14.96,2.41,2.31,66.98,2.85,390.04,31.13,31.78,11.95,1.31,3.53
2002/7/29,118.65,185.97,117.11,74.76,80.82,12.65,15.77,15.48,63.74,55.31,11.59,315.22,15.21,2.45,2.31,67.28,2.82,395.76,31.65,32.31,12.22,1.31,3.59
2002/7/30,119.65,187.13,117.36,76.16,80.5,12.66,15.8,15.58,64.81,56.15,11.84,317.88,15.34,2.47,2.33,67.88,2.85,398.57,31.92,32.58,12.36,1.31,3.57
2002/7/31,120.05,188.59,118.08,76.2,81.08,12.77,15.91,15.85,65.34,56.26,11.86,318.94,15.39,2.47,2.35,67.99,2.85,399.77,32.03,32.69,12.33,1.33,3.59
